Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Arda Turan,Left Winger,28,Atlético Madrid,LaLiga,FC Barcelona,LaLiga,2015-2016,35000000.0,34000000
Mateo Kovacic,Central Midfield,21,Inter,Serie A,Real Madrid,LaLiga,2015-2016,22000000.0,31000000
Carlos Bacca,Centre-Forward,28,Sevilla FC,LaLiga,AC Milan,Serie A,2015-2016,25000000.0,30000000
Heung-min Son,Left Winger,23,Bay. Leverkusen,1.Bundesliga,Spurs,Premier League,2015-2016,16000000.0,30000000
Álvaro Negredo,Centre-Forward,29,Man City,Premier League,Valencia CF,LaLiga,2015-2016,18000000.0,28000000
Pedro,Left Winger,28,FC Barcelona,LaLiga,Chelsea,Premier League,2015-2016,20000000.0,27000000
Stefan Savic,Centre-Back,24,Fiorentina,Serie A,Atlético Madrid,LaLiga,2015-2016,15000000.0,25000000
Layvin Kurzawa,Left-Back,22,Monaco,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000.0,25000000
Alessio Romagnoli,Centre-Back,20,AS Roma,Serie A,AC Milan,Serie A,2015-2016,8500000.0,25000000
Yannick Carrasco,Left Winger,21,Monaco,Ligue 1,Atlético Madrid,LaLiga,2015-2016,9000000.0,24760000
Aymen Abdennour,Centre-Back,26,Monaco,Ligue 1,Valencia CF,LaLiga,2015-2016,10000000.0,22000000
Mario Mandzukic,Left Winger,29,Atlético Madrid,LaLiga,Juventus,Serie A,2015-2016,20000000.0,21000000
Luciano Vietto,Centre-Forward,21,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,2015-2016,20000000.0,20000000
Andrea Bertolacci,Central Midfield,24,AS Roma,Serie A,AC Milan,Serie A,2015-2016,15000000.0,20000000
Abdul Rahman Baba,Left-Back,21,FC Augsburg,1.Bundesliga,Chelsea,Premier League,2015-2016,10000000.0,20000000
Ivan Perisic,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Inter,Serie A,2015-2016,13000000.0,19000000
Florian Thauvin,Right Winger,22,Marseille,Ligue 1,Newcastle,Premier League,2015-2016,12000000.0,18350000
Matteo Darmian,Right-Back,25,Torino,Serie A,Man Utd,Premier League,2015-2016,12000000.0,18000000
Simone Zaza,Centre-Forward,24,Sassuolo,Serie A,Juventus,Serie A,2015-2016,11000000.0,18000000
Nathaniel Clyne,Right-Back,24,Southampton,Premier League,Liverpool,Premier League,2015-2016,17000000.0,17700000
Xherdan Shaqiri,Right Winger,23,Inter,Serie A,Stoke City,Premier League,2015-2016,17000000.0,17000000
Aleix Vidal,Right Winger,25,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2015-2016,10000000.0,17000000
Filipe Luís,Left-Back,29,Chelsea,Premier League,Atlético Madrid,LaLiga,2015-2016,15000000.0,16000000
Toby Alderweireld,Centre-Back,26,Atlético Madrid,LaLiga,Spurs,Premier League,2015-2016,15000000.0,16000000
Jonjo Shelvey,Central Midfield,23,Swansea,Premier League,Newcastle,Premier League,2015-2016,12000000.0,16000000
Roberto Soldado,Centre-Forward,30,Spurs,Premier League,Villarreal CF,LaLiga,2015-2016,10000000.0,16000000
Andros Townsend,Right Winger,24,Spurs,Premier League,Newcastle,Premier League,2015-2016,8000000.0,15700000
Roberto Pereyra,Attacking Midfield,24,Udinese Calcio,Serie A,Juventus,Serie A,2015-2016,17000000.0,15000000
Xherdan Shaqiri,Right Winger,23,Bayern Munich ,1.Bundesliga,Inter,Serie A,2015-2016,17000000.0,15000000
Asier Illarramendi,Defensive Midfield,25,Real Madrid,LaLiga,Real Sociedad,LaLiga,2015-2016,15000000.0,15000000
Dimitri Payet,Attacking Midfield,28,Marseille,Ligue 1,West Ham,Premier League,2015-2016,13000000.0,15000000
Mario Suárez,Defensive Midfield,28,Atlético Madrid,LaLiga,Fiorentina,Serie A,2015-2016,10000000.0,15000000
Clinton N'Jie,Centre-Forward,22,Olympique Lyon,Ligue 1,Spurs,Premier League,2015-2016,5000000.0,14100000
Petr Cech,Goalkeeper,33,Chelsea,Premier League,Arsenal,Premier League,2015-2016,12000000.0,14000000
Adama Traoré,Central Midfield,20,LOSC Lille,Ligue 1,Monaco,Ligue 1,2015-2016,1250000.0,14000000
Yohan Cabaye,Central Midfield,29,Paris SG,Ligue 1,Crystal Palace,Premier League,2015-2016,16000000.0,13900000
Sergi Darder,Central Midfield,21,Málaga CF,LaLiga,Olympique Lyon,Ligue 1,2015-2016,7500000.0,13100000
Hernanes,Attacking Midfield,30,Inter,Serie A,Juventus,Serie A,2015-2016,14000000.0,13000000
Charles Aránguiz,Central Midfield,26,Internacional,Série A,Bay. Leverkusen,1.Bundesliga,2015-2016,9500000.0,13000000
Max Kruse,Second Striker,27,Bor. M'gladbach,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2015-2016,12000000.0,12000000
Luis Muriel,Centre-Forward,24,Udinese Calcio,Serie A,Sampdoria,Serie A,2015-2016,10000000.0,12000000
Chicharito,Centre-Forward,27,Man Utd,Premier League,Bay. Leverkusen,1.Bundesliga,2015-2016,10000000.0,12000000
Jordan Ayew,Centre-Forward,23,FC Lorient,Ligue 1,Aston Villa,Premier League,2015-2016,6000000.0,12000000
Rony Lopes,Right Winger,19,Man City,Premier League,Monaco,Ligue 1,2015-2016,4500000.0,12000000
Wahbi Khazri,Attacking Midfield,24,G. Bordeaux,Ligue 1,Sunderland,Premier League,2015-2016,7500000.0,11800000
Allan,Central Midfield,24,Udinese Calcio,Serie A,SSC Napoli,Serie A,2015-2016,11500000.0,11500000
Fabian Delph,Central Midfield,25,Aston Villa,Premier League,Man City,Premier League,2015-2016,10000000.0,11500000
Gonzalo Castro,Central Midfield,28,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2015-2016,14000000.0,11000000
Asmir Begovic,Goalkeeper,28,Stoke City,Premier League,Chelsea,Premier League,2015-2016,12000000.0,11000000
Ciro Immobile,Centre-Forward,25,Bor. Dortmund,1.Bundesliga,Sevilla FC,LaLiga,2015-2016,10000000.0,11000000
Angelo Ogbonna,Centre-Back,27,Juventus,Serie A,West Ham,Premier League,2015-2016,9000000.0,11000000
Kevin Kampl,Central Midfield,24,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,9000000.0,11000000
Shinji Okazaki,Centre-Forward,29,1.FSV Mainz 05,1.Bundesliga,Leicester,Premier League,2015-2016,8000000.0,11000000
Steven Naismith,Right Winger,29,Everton,Premier League,Norwich,Premier League,2015-2016,5000000.0,11000000
Jemerson,Centre-Back,23,Atlético-MG,Série A,Monaco,Ligue 1,2015-2016,5000000.0,11000000
Jordan Amavi,Left-Back,21,OGC Nice,Ligue 1,Aston Villa,Premier League,2015-2016,4000000.0,11000000
Timm Klose,Centre-Back,27,VfL Wolfsburg,1.Bundesliga,Norwich,Premier League,2015-2016,3000000.0,11000000
Fabio Borini,Left Winger,24,Liverpool,Premier League,Sunderland,Premier League,2015-2016,7000000.0,10700000
Abdoulaye Doucouré,Central Midfield,23,Stade Rennais,Ligue 1,Watford,Premier League,2015-2016,6000000.0,10600000
Adalberto Peñaranda,Centre-Forward,18,Udinese Calcio,Serie A,Watford,Premier League,2015-2016,500000.0,10600000
Johannes Geis,Defensive Midfield,21,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,11000000.0,10500000
Ricardo Álvarez,Attacking Midfield,27,Inter,Serie A,Sunderland,Premier League,2015-2016,10000000.0,10500000
Dusan Basta,Right-Back,30,Udinese Calcio,Serie A,Lazio,Serie A,2015-2016,5500000.0,10500000
Domenico Berardi,Right Winger,20,Juventus,Serie A,Sassuolo,Serie A,2015-2016,17500000.0,10000000
Serge Aurier,Right-Back,22,Toulouse,Ligue 1,Paris SG,Ligue 1,2015-2016,10000000.0,10000000
Josip Drmic,Centre-Forward,22,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,8000000.0,10000000
Jordan Veretout,Central Midfield,22,FC Nantes,Ligue 1,Aston Villa,Premier League,2015-2016,8000000.0,10000000
Max Gradel,Left Winger,27,Saint-Étienne,Ligue 1,Bournemouth,Premier League,2015-2016,6500000.0,10000000
Connor Wickham,Centre-Forward,22,Sunderland,Premier League,Crystal Palace,Premier League,2015-2016,5000000.0,10000000
Santi Mina,Centre-Forward,19,Celta de Vigo,LaLiga,Valencia CF,LaLiga,2015-2016,4000000.0,10000000
Matija Nastasic,Centre-Back,22,Man City,Premier League,FC Schalke 04,1.Bundesliga,2015-2016,14000000.0,9500000
Kevin Trapp,Goalkeeper,25,E. Frankfurt,1.Bundesliga,Paris SG,Ligue 1,2015-2016,8000000.0,9500000
Alberto Paloschi,Centre-Forward,26,Chievo Verona,Serie A,Swansea,Premier League,2015-2016,6000000.0,9500000
Mapou Yanga-Mbiwa,Centre-Back,26,AS Roma,Serie A,Olympique Lyon,Ligue 1,2015-2016,6500000.0,9400000
Lewis Grabban,Centre-Forward,28,Norwich,Premier League,Bournemouth,Premier League,2015-2016,3000000.0,9350000
Gabriel Boschilia,Left Winger,19,São Paulo,Série A,Monaco,Ligue 1,2015-2016,3000000.0,9060000
Bastian Schweinsteiger,Central Midfield,30,Bayern Munich ,1.Bundesliga,Man Utd,Premier League,2015-2016,22000000.0,9000000
Idrissa Gueye,Central Midfield,25,LOSC Lille,Ligue 1,Aston Villa,Premier League,2015-2016,7500000.0,9000000
N'Golo Kanté,Defensive Midfield,24,SM Caen,Ligue 1,Leicester,Premier League,2015-2016,4500000.0,9000000
Étienne Capoue,Defensive Midfield,27,Spurs,Premier League,Watford,Premier League,2015-2016,7500000.0,8900000
Benjamin Stambouli,Centre-Back,24,Spurs,Premier League,Paris SG,Ligue 1,2015-2016,5000000.0,8600000
Andrea Bertolacci,Central Midfield,24,Genoa,Serie A,AS Roma,Serie A,2015-2016,15000000.0,8500000
Mattia Destro,Centre-Forward,24,AS Roma,Serie A,Bologna,Serie A,2015-2016,13000000.0,8500000
Joshua Kimmich,Right-Back,20,VfB Stuttgart,1.Bundesliga,Bayern Munich ,1.Bundesliga,2015-2016,5000000.0,8500000
Nordin Amrabat,Left Winger,28,Málaga CF,LaLiga,Watford,Premier League,2015-2016,6000000.0,8400000
Matej Vydra,Centre-Forward,23,Udinese Calcio,Serie A,Watford,Premier League,2015-2016,5500000.0,8400000
Andrea Belotti,Centre-Forward,21,US Palermo,Serie A,Torino,Serie A,2015-2016,5000000.0,8400000
Jonny Evans,Centre-Back,27,Man Utd,Premier League,West Brom,Premier League,2015-2016,6000000.0,8300000
Raúl García,Attacking Midfield,29,Atlético Madrid,LaLiga,Athletic Bilbao,LaLiga,2015-2016,15000000.0,8000000
Thorgan Hazard,Left Winger,22,Chelsea,Premier League,Bor. M'gladbach,1.Bundesliga,2015-2016,10000000.0,8000000
Jeison Murillo,Centre-Back,23,Granada CF,LaLiga,Inter,Serie A,2015-2016,8000000.0,8000000
Samu García,Right Winger,24,Málaga CF,LaLiga,Villarreal CF,LaLiga,2015-2016,7500000.0,8000000
Samu Castillejo,Right Winger,20,Málaga CF,LaLiga,Villarreal CF,LaLiga,2015-2016,7500000.0,8000000
Steven Nzonzi,Defensive Midfield,26,Stoke City,Premier League,Sevilla FC,LaLiga,2015-2016,7500000.0,8000000
Joselu,Centre-Forward,25,Hannover 96,1.Bundesliga,Stoke City,Premier League,2015-2016,6000000.0,8000000
Kenedy,Left Midfield,19,Fluminense,Série A,Chelsea,Premier League,2015-2016,6000000.0,8000000
Jonas Hofmann,Right Winger,23,Bor. Dortmund,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2015-2016,4000000.0,8000000
Alberto Grassi,Central Midfield,20,Atalanta,Serie A,SSC Napoli,Serie A,2015-2016,2000000.0,8000000
Rolando Mandragora,Central Midfield,18,Genoa,Serie A,Juventus,Serie A,2015-2016,2000000.0,8000000
Lucas Ocampos,Left Winger,20,Monaco,Ligue 1,Marseille,Ligue 1,2015-2016,6500000.0,7500000
Jonathan Tah,Centre-Back,19,Hamburger SV,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,6000000.0,7500000
Iago Falque,Right Winger,26,Genoa,Serie A,AS Roma,Serie A,2015-2016,8000000.0,7000000
Gökhan Inler,Defensive Midfield,31,SSC Napoli,Serie A,Leicester,Premier League,2015-2016,7500000.0,7000000
Juanmi,Right Winger,22,Málaga CF,LaLiga,Southampton,Premier League,2015-2016,7000000.0,7000000
Vlad Chiriches,Centre-Back,25,Spurs,Premier League,SSC Napoli,Serie A,2015-2016,6000000.0,7000000
Oriol Romeu,Defensive Midfield,23,Chelsea,Premier League,Southampton,Premier League,2015-2016,2500000.0,7000000
Yohan Benalouane,Centre-Back,28,Atalanta,Serie A,Leicester,Premier League,2015-2016,1300000.0,7000000
Kyriakos Papadopoulos,Centre-Back,23,FC Schalke 04,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2015-2016,7500000.0,6500000
Lewis Holtby,Attacking Midfield,24,Spurs,Premier League,Hamburger SV,1.Bundesliga,2015-2016,4000000.0,6500000
Lamine Koné,Centre-Back,27,FC Lorient,Ligue 1,Sunderland,Premier League,2015-2016,2500000.0,6500000
Franco Di Santo,Centre-Forward,26,Werder Bremen,1.Bundesliga,FC Schalke 04,1.Bundesliga,2015-2016,8500000.0,6000000
Aaron Lennon,Right Winger,28,Spurs,Premier League,Everton,Premier League,2015-2016,8500000.0,6000000
Pedro Obiang,Central Midfield,23,Sampdoria,Serie A,West Ham,Premier League,2015-2016,8000000.0,6000000
Kiko Casilla,Goalkeeper,28,Espanyol,LaLiga,Real Madrid,LaLiga,2015-2016,7500000.0,6000000
Kevin Wimmer,Centre-Back,22,1. FC Köln,1.Bundesliga,Spurs,Premier League,2015-2016,7500000.0,6000000
Eduardo Vargas,Centre-Forward,25,SSC Napoli,Serie A,TSG Hoffenheim,1.Bundesliga,2015-2016,6000000.0,6000000
Gerard Deulofeu,Right Winger,21,FC Barcelona,LaLiga,Everton,Premier League,2015-2016,6000000.0,6000000
Claudio Beauvue,Centre-Forward,27,Guingamp,Ligue 1,Olympique Lyon,Ligue 1,2015-2016,5000000.0,6000000
Iago Aspas,Right Winger,27,Liverpool,Premier League,Sevilla FC,LaLiga,2015-2016,4000000.0,6000000
Daniele Baselli,Central Midfield,23,Atalanta,Serie A,Torino,Serie A,2015-2016,3800000.0,6000000
Gaël Kakuta,Left Winger,24,Chelsea,Premier League,Sevilla FC,LaLiga,2015-2016,3500000.0,6000000
Henri Saivet,Attacking Midfield,25,G. Bordeaux,Ligue 1,Newcastle,Premier League,2015-2016,2500000.0,6000000
Paul Pogba,Central Midfield,23,Juventus,Serie A,Man Utd,Premier League,2016-2017,70000000.0,105000000
Gonzalo Higuaín,Centre-Forward,28,SSC Napoli,Serie A,Juventus,Serie A,2016-2017,65000000.0,90000000
John Stones,Centre-Back,22,Everton,Premier League,Man City,Premier League,2016-2017,28000000.0,55600000
Leroy Sané,Left Winger,20,FC Schalke 04,1.Bundesliga,Man City,Premier League,2016-2017,30000000.0,50500000
Granit Xhaka,Defensive Midfield,23,Bor. M'gladbach,1.Bundesliga,Arsenal,Premier League,2016-2017,25000000.0,45000000
Henrikh Mkhitaryan,Attacking Midfield,27,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2016-2017,30000000.0,42000000
Sadio Mané,Left Winger,24,Southampton,Premier League,Liverpool,Premier League,2016-2017,20000000.0,41200000
Shkodran Mustafi,Centre-Back,24,Valencia CF,LaLiga,Arsenal,Premier League,2016-2017,20000000.0,41000000
Julian Draxler,Central Midfield,23,VfL Wolfsburg,1.Bundesliga,Paris SG,Ligue 1,2016-2017,28000000.0,40000000
Michy Batshuayi,Centre-Forward,22,Marseille,Ligue 1,Chelsea,Premier League,2016-2017,15000000.0,39000000
Eric Bailly,Centre-Back,22,Villarreal CF,LaLiga,Man Utd,Premier League,2016-2017,8000000.0,38000000
André Gomes,Central Midfield,22,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016-2017,30000000.0,37000000
N'Golo Kanté,Defensive Midfield,25,Leicester,Premier League,Chelsea,Premier League,2016-2017,20000000.0,35800000
Mats Hummels,Centre-Back,27,Bor. Dortmund,1.Bundesliga,Bayern Munich ,1.Bundesliga,2016-2017,32000000.0,35000000
David Luiz,Centre-Back,29,Paris SG,Ligue 1,Chelsea,Premier League,2016-2017,28000000.0,35000000
Miralem Pjanic,Central Midfield,26,AS Roma,Serie A,Juventus,Serie A,2016-2017,35000000.0,32000000
Gabriel Jesus,Centre-Forward,19,Palmeiras,Série A,Man City,Premier League,2016-2017,16000000.0,32000000
Christian Benteke,Centre-Forward,25,Liverpool,Premier League,Crystal Palace,Premier League,2016-2017,27000000.0,31200000
Álvaro Morata,Centre-Forward,23,Juventus,Serie A,Real Madrid,LaLiga,2016-2017,30000000.0,30000000
Paco Alcácer,Centre-Forward,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,2016-2017,25000000.0,30000000
Kévin Gameiro,Centre-Forward,29,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,2016-2017,20000000.0,30000000
André Schürrle,Left Winger,25,VfL Wolfsburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,18000000.0,30000000
Gabriel Barbosa,Second Striker,20,Santos FC,Série A,Inter,Serie A,2016-2017,20000000.0,29500000
Dimitri Payet,Attacking Midfield,29,West Ham,Premier League,Marseille,Ligue 1,2016-2017,30000000.0,29300000
Yannick Bolasie,Left Winger,27,Crystal Palace,Premier League,Everton,Premier League,2016-2017,14000000.0,28900000
Grzegorz Krychowiak,Defensive Midfield,26,Sevilla FC,LaLiga,Paris SG,Ligue 1,2016-2017,30000000.0,27500000
Ilkay Gündogan,Central Midfield,25,Bor. Dortmund,1.Bundesliga,Man City,Premier League,2016-2017,30000000.0,27000000
Samuel Umtiti,Centre-Back,22,Olympique Lyon,Ligue 1,FC Barcelona,LaLiga,2016-2017,15000000.0,25000000
Jesé,Left Winger,23,Real Madrid,LaLiga,Paris SG,Ligue 1,2016-2017,14000000.0,25000000
André Ayew,Left Winger,26,Swansea,Premier League,West Ham,Premier League,2016-2017,18000000.0,24100000
Marcos Alonso,Left-Back,25,Fiorentina,Serie A,Chelsea,Premier League,2016-2017,9000000.0,23000000
Morgan Schneiderlin,Defensive Midfield,27,Man Utd,Premier League,Everton,Premier League,2016-2017,28000000.0,22900000
Mario Götze,Attacking Midfield,24,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,35000000.0,22000000
Antonio Candreva,Right Winger,29,Lazio,Serie A,Inter,Serie A,2016-2017,23000000.0,22000000
Kevin Volland,Centre-Forward,23,TSG Hoffenheim,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2016-2017,17000000.0,20000000
Mattia Caldara,Centre-Back,22,Atalanta,Serie A,Juventus,Serie A,2016-2017,8000000.0,19000000
Sofiane Boufal,Attacking Midfield,22,LOSC Lille,Ligue 1,Southampton,Premier League,2016-2017,13000000.0,18700000
Joaquín Correa,Left Winger,21,Sampdoria,Serie A,Sevilla FC,LaLiga,2016-2017,6500000.0,18200000
Claudio Bravo,Goalkeeper,33,FC Barcelona,LaLiga,Man City,Premier League,2016-2017,15000000.0,18000000
Nolito,Left Winger,29,Celta de Vigo,LaLiga,Man City,Premier League,2016-2017,15000000.0,18000000
Leonardo Pavoletti,Centre-Forward,28,Genoa,Serie A,SSC Napoli,Serie A,2016-2017,13000000.0,18000000
Jordon Ibe,Right Winger,20,Liverpool,Premier League,Bournemouth,Premier League,2016-2017,7000000.0,18000000
Borja Bastón,Centre-Forward,23,Atlético Madrid,LaLiga,Swansea,Premier League,2016-2017,5000000.0,18000000
Manolo Gabbiadini,Centre-Forward,25,SSC Napoli,Serie A,Southampton,Premier League,2016-2017,15000000.0,17000000
Franco Vázquez,Attacking Midfield,27,US Palermo,Serie A,Sevilla FC,LaLiga,2016-2017,15000000.0,16800000
Gerson,Right Winger,19,Fluminense,Série A,AS Roma,Serie A,2016-2017,6000000.0,16600000
Lucas Digne,Left-Back,22,Paris SG,Ligue 1,FC Barcelona,LaLiga,2016-2017,12000000.0,16500000
Memphis Depay,Left Winger,22,Man Utd,Premier League,Olympique Lyon,Ligue 1,2016-2017,25000000.0,16000000
Sime Vrsaljko,Right-Back,24,Sassuolo,Serie A,Atlético Madrid,LaLiga,2016-2017,13000000.0,16000000
Joe Allen,Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,2016-2017,8000000.0,15500000
Nampalys Mendy,Defensive Midfield,24,OGC Nice,Ligue 1,Leicester,Premier League,2016-2017,7500000.0,15500000
Ryan Mason,Central Midfield,25,Spurs,Premier League,Hull City,Premier League,2016-2017,7500000.0,15400000
Nacer Chadli,Left Winger,27,Spurs,Premier League,West Brom,Premier League,2016-2017,13000000.0,15200000
Mohamed Salah,Right Winger,24,Chelsea,Premier League,AS Roma,Serie A,2016-2017,20000000.0,15000000
Christoph Kramer,Defensive Midfield,25,Bay. Leverkusen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016-2017,12000000.0,15000000
Ousmane Dembélé,Right Winger,19,Stade Rennais,Ligue 1,Bor. Dortmund,1.Bundesliga,2016-2017,12000000.0,15000000
Pierre-Emile Höjbjerg,Central Midfield,20,Bayern Munich ,1.Bundesliga,Southampton,Premier League,2016-2017,6000000.0,15000000
Djibril Sidibé,Right-Back,23,LOSC Lille,Ligue 1,Monaco,Ligue 1,2016-2017,4000000.0,15000000
Isaac Success,Left Winger,20,Granada CF,LaLiga,Watford,Premier League,2016-2017,3000000.0,15000000
Amadou Diawara,Defensive Midfield,19,Bologna,Serie A,SSC Napoli,Serie A,2016-2017,11000000.0,14500000
Victor Wanyama,Defensive Midfield,25,Southampton,Premier League,Spurs,Premier League,2016-2017,15000000.0,14400000
Lucas Pérez,Centre-Forward,27,Dep. La Coruña,LaLiga,Arsenal,Premier League,2016-2017,12000000.0,14000000
Piotr Zielinski,Central Midfield,22,Udinese Calcio,Serie A,SSC Napoli,Serie A,2016-2017,12000000.0,14000000
Ashley Williams,Centre-Back,31,Swansea,Premier League,Everton,Premier League,2016-2017,8000000.0,14000000
Saido Berahino,Centre-Forward,23,West Brom,Premier League,Stoke City,Premier League,2016-2017,15000000.0,13900000
Jeffrey Schlupp,Left-Back,24,Leicester,Premier League,Crystal Palace,Premier League,2016-2017,8000000.0,13800000
Roberto Soriano,Left Winger,25,Sampdoria,Serie A,Villarreal CF,LaLiga,2016-2017,14000000.0,13750000
Stevan Jovetic,Centre-Forward,27,Man City,Premier League,Inter,Serie A,2016-2017,10000000.0,13500000
Stephan El Shaarawy,Left Winger,23,AC Milan,Serie A,AS Roma,Serie A,2016-2017,17000000.0,13000000
Roberto Pereyra,Attacking Midfield,25,Juventus,Serie A,Watford,Premier League,2016-2017,16000000.0,13000000
Nicola Sansone,Left Winger,24,Sassuolo,Serie A,Villarreal CF,LaLiga,2016-2017,12000000.0,13000000
Benjamin Mendy,Left-Back,21,Marseille,Ligue 1,Monaco,Ligue 1,2016-2017,6500000.0,13000000
Yannick Gerhardt,Left-Back,22,1. FC Köln,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016-2017,4500000.0,13000000
Yunus Malli,Attacking Midfield,24,1.FSV Mainz 05,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2016-2017,10000000.0,12500000
Jannik Vestergaard,Centre-Back,23,Werder Bremen,1.Bundesliga,Bor. M'gladbach,1.Bundesliga,2016-2017,7000000.0,12500000
Sebastian Rode,Central Midfield,25,Bayern Munich ,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2016-2017,8000000.0,12000000
Robert Snodgrass,Right Winger,29,Hull City,Premier League,West Ham,Premier League,2016-2017,5000000.0,12000000
James Tomkins,Centre-Back,27,West Ham,Premier League,Crystal Palace,Premier League,2016-2017,6000000.0,11700000
Jake Livermore,Defensive Midfield,27,Hull City,Premier League,West Brom,Premier League,2016-2017,4500000.0,11500000
Edin Dzeko,Centre-Forward,30,Man City,Premier League,AS Roma,Serie A,2016-2017,18000000.0,11000000
Kamil Glik,Centre-Back,28,Torino,Serie A,Monaco,Ligue 1,2016-2017,10000000.0,11000000
Georges-Kevin N'Koudou,Left Winger,21,Marseille,Ligue 1,Spurs,Premier League,2016-2017,7000000.0,11000000
Andrej Kramaric,Centre-Forward,25,Leicester,Premier League,TSG Hoffenheim,1.Bundesliga,2016-2017,5000000.0,11000000
Cristian Ansaldi,Left-Back,29,Genoa,Serie A,Inter,Serie A,2016-2017,6000000.0,10500000
Patrick van Aanholt,Left-Back,26,Sunderland,Premier League,Crystal Palace,Premier League,2016-2017,6000000.0,10500000
Marten de Roon,Central Midfield,25,Atalanta,Serie A,Middlesbrough,Premier League,2016-2017,5000000.0,10500000
Lorenzo Tonelli,Centre-Back,26,FC Empoli,Serie A,SSC Napoli,Serie A,2016-2017,5500000.0,10000000
Éder,Second Striker,29,Sampdoria,Serie A,Inter,Serie A,2016-2017,12000000.0,9800000
Mario Lemina,Defensive Midfield,22,Marseille,Ligue 1,Juventus,Serie A,2016-2017,4000000.0,9800000
Ganso,Attacking Midfield,26,São Paulo,Série A,Sevilla FC,LaLiga,2016-2017,9000000.0,9500000
Wissam Ben Yedder,Centre-Forward,25,Toulouse,Ligue 1,Sevilla FC,LaLiga,2016-2017,9000000.0,9500000
Papy Djilobodji,Centre-Back,27,Chelsea,Premier League,Sunderland,Premier League,2016-2017,4500000.0,9500000
Ciro Immobile,Centre-Forward,26,Sevilla FC,LaLiga,Lazio,Serie A,2016-2017,10000000.0,9450000
Walace,Defensive Midfield,21,Grêmio,Série A,Hamburger SV,1.Bundesliga,2016-2017,9000000.0,9200000
José Fonte,Centre-Back,33,Southampton,Premier League,West Ham,Premier League,2016-2017,6000000.0,9200000
Nicolás López,Centre-Forward,22,Udinese Calcio,Serie A,Internacional,Série A,2016-2017,3000000.0,9090000
Miranda,Centre-Back,31,Atlético Madrid,LaLiga,Inter,Serie A,2016-2017,16000000.0,9000000
Adem Ljajic,Attacking Midfield,24,AS Roma,Serie A,Torino,Serie A,2016-2017,12000000.0,9000000
Morgan Sanson,Central Midfield,22,Montpellier,Ligue 1,Marseille,Ligue 1,2016-2017,10000000.0,9000000
Diego Perotti,Left Winger,27,Genoa,Serie A,AS Roma,Serie A,2016-2017,9500000.0,9000000
Gianluca Lapadula,Centre-Forward,26,Pescara,Serie A,AC Milan,Serie A,2016-2017,6500000.0,9000000
Kamil Grosicki,Right Winger,28,Stade Rennais,Ligue 1,Hull City,Premier League,2016-2017,6000000.0,9000000
Jorge,Left-Back,20,Flamengo,Série A,Monaco,Ligue 1,2016-2017,2500000.0,8500000
Gianluca Caprari,Second Striker,22,Pescara,Serie A,Inter,Serie A,2016-2017,3500000.0,8250000
Marc Bartra,Centre-Back,25,FC Barcelona,LaLiga,Bor. Dortmund,1.Bundesliga,2016-2017,12000000.0,8000000
Tomás Rincón,Defensive Midfield,28,Genoa,Serie A,Juventus,Serie A,2016-2017,9000000.0,8000000
Benjamin Stambouli,Centre-Back,26,Paris SG,Ligue 1,FC Schalke 04,1.Bundesliga,2016-2017,7000000.0,8000000
Alisson,Goalkeeper,23,Internacional,Série A,AS Roma,Serie A,2016-2017,7000000.0,8000000
Alfred N'Diaye,Defensive Midfield,26,Real Betis,LaLiga,Villarreal CF,LaLiga,2016-2017,3500000.0,8000000
Dodô,Left-Back,24,AS Roma,Serie A,Inter,Serie A,2016-2017,6000000.0,7800000
Max Kruse,Second Striker,28,VfL Wolfsburg,1.Bundesliga,Werder Bremen,1.Bundesliga,2016-2017,8000000.0,7500000
Antonio Sanabria,Centre-Forward,20,AS Roma,Serie A,Real Betis,LaLiga,2016-2017,7500000.0,7500000
